DBN,School,Grade,Year,Category,Number,avg_score
30Q010,I.S. 010 Horace Greeley,All Grades,2018,All Students,692,602
30Q011,P.S. 011 Kathryn Phelan,All Grades,2013,All Students,703,307
30Q011,P.S. 011 Kathryn Phelan,All Grades,2014,All Students,739,302
30Q011,P.S. 011 Kathryn Phelan,All Grades,2015,All Students,715,307
30Q011,P.S. 011 Kathryn Phelan,All Grades,2016,All Students,686,311
30Q011,P.S. 011 Kathryn Phelan,All Grades,2017,All Students,680,310
30Q011,P.S. 011 Kathryn Phelan,All Grades,2018,All Students,636,605
30Q017,P.S. 017 Henry David Thoreau,All Grades,2013,All Students,257,292
30Q017,P.S. 017 Henry David Thoreau,All Grades,2014,All Students,224,289
30Q017,P.S. 017 Henry David Thoreau,All Grades,2015,All Students,212,286
30Q017,P.S. 017 Henry David Thoreau,All Grades,2016,All Students,227,302
30Q017,P.S. 017 Henry David Thoreau,All Grades,2017,All Students,225,296
30Q017,P.S. 017 Henry David Thoreau,All Grades,2018,All Students,225,597
30Q069,P.S. 069 Jackson Heights,All Grades,2013,All Students,692,317
30Q069,P.S. 069 Jackson Heights,All Grades,2014,All Students,692,316
30Q069,P.S. 069 Jackson Heights,All Grades,2015,All Students,608,315
30Q069,P.S. 069 Jackson Heights,All Grades,2016,All Students,546,320
30Q069,P.S. 069 Jackson Heights,All Grades,2017,All Students,515,322
30Q069,P.S. 069 Jackson Heights,All Grades,2018,All Students,517,608
30Q070,P.S. 070,All Grades,2013,All Students,459,306
30Q070,P.S. 070,All Grades,2014,All Students,444,307
30Q070,P.S. 070,All Grades,2015,All Students,440,308
30Q070,P.S. 070,All Grades,2016,All Students,425,312
30Q070,P.S. 070,All Grades,2017,All Students,369,311
30Q070,P.S. 070,All Grades,2018,All Students,371,605
30Q076,P.S. 076 William Hallet,All Grades,2013,All Students,201,285
30Q076,P.S. 076 William Hallet,All Grades,2014,All Students,212,285
30Q076,P.S. 076 William Hallet,All Grades,2015,All Students,205,284
30Q076,P.S. 076 William Hallet,All Grades,2016,All Students,201,294
30Q076,P.S. 076 William Hallet,All Grades,2017,All Students,180,290
30Q076,P.S. 076 William Hallet,All Grades,2018,All Students,187,594
30Q078,P.S./I.S. 78Q,All Grades,2013,All Students,100,316
30Q078,P.S./I.S. 78Q,All Grades,2014,All Students,146,315
30Q078,P.S./I.S. 78Q,All Grades,2015,All Students,195,316
30Q078,P.S./I.S. 78Q,All Grades,2016,All Students,240,325
30Q078,P.S./I.S. 78Q,All Grades,2017,All Students,263,327
30Q078,P.S./I.S. 78Q,All Grades,2018,All Students,317,612
30Q084,P.S. 084 Steinway,All Grades,2013,All Students,199,302
30Q084,P.S. 084 Steinway,All Grades,2014,All Students,177,304
30Q084,P.S. 084 Steinway,All Grades,2015,All Students,159,302
30Q084,P.S. 084 Steinway,All Grades,2016,All Students,135,306
30Q084,P.S. 084 Steinway,All Grades,2017,All Students,105,313
30Q084,P.S. 084 Steinway,All Grades,2018,All Students,98,612
30Q085,P.S. 085 Judge Charles Vallone,All Grades,2013,All Students,250,323
30Q085,P.S. 085 Judge Charles Vallone,All Grades,2014,All Students,216,318
30Q085,P.S. 085 Judge Charles Vallone,All Grades,2015,All Students,219,324
30Q085,P.S. 085 Judge Charles Vallone,All Grades,2016,All Students,244,329
30Q085,P.S. 085 Judge Charles Vallone,All Grades,2017,All Students,244,333
30Q085,P.S. 085 Judge Charles Vallone,All Grades,2018,All Students,284,611
30Q092,P.S. 092 Harry T. Stewart Sr.,All Grades,2013,All Students,427,290
30Q092,P.S. 092 Harry T. Stewart Sr.,All Grades,2014,All Students,414,287
30Q092,P.S. 092 Harry T. Stewart Sr.,All Grades,2015,All Students,392,283
30Q092,P.S. 092 Harry T. Stewart Sr.,All Grades,2016,All Students,388,292
30Q092,P.S. 092 Harry T. Stewart Sr.,All Grades,2017,All Students,419,294
30Q092,P.S. 092 Harry T. Stewart Sr.,All Grades,2018,All Students,384,597
30Q111,P.S. 111 Jacob Blackwell,All Grades,2013,All Students,263,272
30Q111,P.S. 111 Jacob Blackwell,All Grades,2014,All Students,236,271
30Q111,P.S. 111 Jacob Blackwell,All Grades,2015,All Students,202,271
30Q111,P.S. 111 Jacob Blackwell,All Grades,2016,All Students,188,281
30Q111,P.S. 111 Jacob Blackwell,All Grades,2017,All Students,156,280
30Q111,P.S. 111 Jacob Blackwell,All Grades,2018,All Students,141,585
30Q112,P.S. 112 Dutch Kills,All Grades,2013,All Students,240,293
30Q112,P.S. 112 Dutch Kills,All Grades,2014,All Students,205,288
30Q112,P.S. 112 Dutch Kills,All Grades,2015,All Students,209,291
30Q112,P.S. 112 Dutch Kills,All Grades,2016,All Students,225,300
30Q112,P.S. 112 Dutch Kills,All Grades,2017,All Students,212,312
30Q112,P.S. 112 Dutch Kills,All Grades,2018,All Students,205,598
30Q122,P.S. 122 Mamie Fay,All Grades,2013,All Students,789,332
30Q122,P.S. 122 Mamie Fay,All Grades,2014,All Students,801,332
30Q122,P.S. 122 Mamie Fay,All Grades,2015,All Students,781,331
30Q122,P.S. 122 Mamie Fay,All Grades,2016,All Students,787,337
30Q122,P.S. 122 Mamie Fay,All Grades,2017,All Students,756,339
30Q122,P.S. 122 Mamie Fay,All Grades,2018,All Students,792,619
30Q126,Albert Shanker School for Visual and Performing Ar,All Grades,2013,All Students,472,283
30Q126,Albert Shanker School for Visual and Performing Ar,All Grades,2014,All Students,511,285
30Q126,Albert Shanker School for Visual and Performing Ar,All Grades,2015,All Students,543,291
30Q126,Albert Shanker School for Visual and Performing Ar,All Grades,2016,All Students,572,303
30Q126,Albert Shanker School for Visual and Performing Ar,All Grades,2017,All Students,607,304
30Q126,Albert Shanker School for Visual and Performing Ar,All Grades,2018,All Students,642,601
30Q127,P.S. 127 Aerospace Science Magnet School,All Grades,2013,All Students,799,289
30Q127,P.S. 127 Aerospace Science Magnet School,All Grades,2014,All Students,832,285
30Q127,P.S. 127 Aerospace Science Magnet School,All Grades,2015,All Students,828,289
30Q127,P.S. 127 Aerospace Science Magnet School,All Grades,2016,All Students,845,299
30Q127,P.S. 127 Aerospace Science Magnet School,All Grades,2017,All Students,809,303
30Q127,P.S. 127 Aerospace Science Magnet School,All Grades,2018,All Students,792,599
30Q141,I.S. 141 The Steinway,All Grades,2013,All Students,1130,308
30Q141,I.S. 141 The Steinway,All Grades,2014,All Students,1177,310
30Q141,I.S. 141 The Steinway,All Grades,2015,All Students,1157,310
30Q141,I.S. 141 The Steinway,All Grades,2016,All Students,1086,318
30Q141,I.S. 141 The Steinway,All Grades,2017,All Students,1081,321
30Q141,I.S. 141 The Steinway,All Grades,2018,All Students,1080,610
30Q145,I.S. 145 Joseph Pulitzer,All Grades,2013,All Students,1967,291
30Q145,I.S. 145 Joseph Pulitzer,All Grades,2014,All Students,1962,291
30Q145,I.S. 145 Joseph Pulitzer,All Grades,2015,All Students,1914,293
30Q145,I.S. 145 Joseph Pulitzer,All Grades,2016,All Students,1797,301
30Q145,I.S. 145 Joseph Pulitzer,All Grades,2017,All Students,1733,302
30Q145,I.S. 145 Joseph Pulitzer,All Grades,2018,All Students,1586,599
30Q148,P.S. 148 Queens,All Grades,2013,All Students,440,296
30Q148,P.S. 148 Queens,All Grades,2014,All Students,437,293
30Q148,P.S. 148 Queens,All Grades,2015,All Students,448,298
30Q148,P.S. 148 Queens,All Grades,2016,All Students,479,298
30Q148,P.S. 148 Queens,All Grades,2017,All Students,430,298
30Q148,P.S. 148 Queens,All Grades,2018,All Students,422,596
30Q149,P.S. 149 Christa Mcauliffe,All Grades,2013,All Students,767,294
30Q149,P.S. 149 Christa Mcauliffe,All Grades,2014,All Students,757,293
30Q149,P.S. 149 Christa Mcauliffe,All Grades,2015,All Students,734,297
30Q149,P.S. 149 Christa Mcauliffe,All Grades,2016,All Students,699,305
30Q149,P.S. 149 Christa Mcauliffe,All Grades,2017,All Students,664,307
30Q149,P.S. 149 Christa Mcauliffe,All Grades,2018,All Students,605,599
30Q150,P.S. 150 Queens,All Grades,2013,All Students,618,314
30Q150,P.S. 150 Queens,All Grades,2014,All Students,585,311
30Q150,P.S. 150 Queens,All Grades,2015,All Students,585,314
30Q150,P.S. 150 Queens,All Grades,2016,All Students,575,323
30Q150,P.S. 150 Queens,All Grades,2017,All Students,562,323
30Q150,P.S. 150 Queens,All Grades,2018,All Students,535,611
30Q151,P.S. 151 Mary D. Carter,All Grades,2013,All Students,212,282
30Q151,P.S. 151 Mary D. Carter,All Grades,2014,All Students,206,281
30Q151,P.S. 151 Mary D. Carter,All Grades,2015,All Students,153,286
30Q151,P.S. 151 Mary D. Carter,All Grades,2016,All Students,167,296
30Q151,P.S. 151 Mary D. Carter,All Grades,2017,All Students,165,295
30Q151,P.S. 151 Mary D. Carter,All Grades,2018,All Students,180,597
30Q152,P.S. 152 Gwendoline N. Alleyne School,All Grades,2013,All Students,625,309
30Q152,P.S. 152 Gwendoline N. Alleyne School,All Grades,2014,All Students,627,309
30Q152,P.S. 152 Gwendoline N. Alleyne School,All Grades,2015,All Students,620,308
30Q152,P.S. 152 Gwendoline N. Alleyne School,All Grades,2016,All Students,603,316
30Q152,P.S. 152 Gwendoline N. Alleyne School,All Grades,2017,All Students,596,316
30Q152,P.S. 152 Gwendoline N. Alleyne School,All Grades,2018,All Students,554,608
30Q166,P.S. 166 Henry Gradstein,All Grades,2013,All Students,455,305
30Q166,P.S. 166 Henry Gradstein,All Grades,2014,All Students,497,307
30Q166,P.S. 166 Henry Gradstein,All Grades,2015,All Students,561,311
30Q166,P.S. 166 Henry Gradstein,All Grades,2016,All Students,592,321
30Q166,P.S. 166 Henry Gradstein,All Grades,2017,All Students,608,328
30Q166,P.S. 166 Henry Gradstein,All Grades,2018,All Students,540,612
30Q171,P.S. 171 Peter G. Van Alst,All Grades,2013,All Students,243,291
30Q171,P.S. 171 Peter G. Van Alst,All Grades,2014,All Students,241,290
30Q171,P.S. 171 Peter G. Van Alst,All Grades,2015,All Students,236,281
30Q171,P.S. 171 Peter G. Van Alst,All Grades,2016,All Students,227,288
30Q171,P.S. 171 Peter G. Van Alst,All Grades,2017,All Students,235,288
30Q171,P.S. 171 Peter G. Van Alst,All Grades,2018,All Students,234,594
30Q204,I.S. 204 Oliver W. Holmes,All Grades,2013,All Students,679,292
30Q204,I.S. 204 Oliver W. Holmes,All Grades,2014,All Students,668,292
30Q204,I.S. 204 Oliver W. Holmes,All Grades,2015,All Students,552,296
30Q204,I.S. 204 Oliver W. Holmes,All Grades,2016,All Students,464,297
30Q204,I.S. 204 Oliver W. Holmes,All Grades,2017,All Students,463,298
30Q204,I.S. 204 Oliver W. Holmes,All Grades,2018,All Students,448,596
30Q212,P.S. 212,All Grades,2013,All Students,374,307
30Q212,P.S. 212,All Grades,2014,All Students,384,303
30Q212,P.S. 212,All Grades,2015,All Students,356,305
30Q212,P.S. 212,All Grades,2016,All Students,372,317
30Q212,P.S. 212,All Grades,2017,All Students,384,319
30Q212,P.S. 212,All Grades,2018,All Students,354,605
30Q227,I.S. 227 Louis Armstrong,All Grades,2013,All Students,1491,313
30Q227,I.S. 227 Louis Armstrong,All Grades,2014,All Students,1516,312
30Q227,I.S. 227 Louis Armstrong,All Grades,2015,All Students,1461,314
30Q227,I.S. 227 Louis Armstrong,All Grades,2016,All Students,1379,321
30Q227,I.S. 227 Louis Armstrong,All Grades,2017,All Students,1395,325
30Q227,I.S. 227 Louis Armstrong,All Grades,2018,All Students,1405,613
30Q230,I.S. 230,All Grades,2013,All Students,952,304
30Q230,I.S. 230,All Grades,2014,All Students,976,306
30Q230,I.S. 230,All Grades,2015,All Students,1043,308
30Q230,I.S. 230,All Grades,2016,All Students,1144,314
30Q230,I.S. 230,All Grades,2017,All Students,1236,315
30Q230,I.S. 230,All Grades,2018,All Students,1215,606
30Q234,P.S. 234,All Grades,2013,All Students,303,305
30Q234,P.S. 234,All Grades,2014,All Students,284,303
30Q234,P.S. 234,All Grades,2015,All Students,274,303
30Q234,P.S. 234,All Grades,2016,All Students,283,308
30Q234,P.S. 234,All Grades,2017,All Students,263,308
30Q234,P.S. 234,All Grades,2018,All Students,247,608
30Q235,Academy for New Americans,All Grades,2013,All Students,72,255
30Q235,Academy for New Americans,All Grades,2014,All Students,72,245
30Q235,Academy for New Americans,All Grades,2015,All Students,67,253
30Q235,Academy for New Americans,All Grades,2016,All Students,89,252
30Q235,Academy for New Americans,All Grades,2017,All Students,88,248
30Q235,Academy for New Americans,All Grades,2018,All Students,62,571
30Q280,P.S. 280,All Grades,2014,All Students,96,288
30Q280,P.S. 280,All Grades,2015,All Students,212,286
30Q280,P.S. 280,All Grades,2016,All Students,340,300
30Q280,P.S. 280,All Grades,2017,All Students,355,305
30Q280,P.S. 280,All Grades,2018,All Students,333,600
30Q286,"Young Women's Leadership School, Astoria",All Grades,2013,All Students,256,308
30Q286,"Young Women's Leadership School, Astoria",All Grades,2014,All Students,249,308
30Q286,"Young Women's Leadership School, Astoria",All Grades,2015,All Students,239,312
30Q286,"Young Women's Leadership School, Astoria",All Grades,2016,All Students,230,321
30Q286,"Young Women's Leadership School, Astoria",All Grades,2017,All Students,226,326
30Q286,"Young Women's Leadership School, Astoria",All Grades,2018,All Students,236,611
30Q291,Hunters Point Community Middle School,All Grades,2014,All Students,90,306
30Q291,Hunters Point Community Middle School,All Grades,2015,All Students,223,303
30Q291,Hunters Point Community Middle School,All Grades,2016,All Students,348,313
30Q291,Hunters Point Community Middle School,All Grades,2017,All Students,374,315
30Q291,Hunters Point Community Middle School,All Grades,2018,All Students,391,608
30Q300,The 30th Avenue School (G&T Citywide),All Grades,2015,All Students,25,348
30Q300,The 30th Avenue School (G&T Citywide),All Grades,2016,All Students,66,347
30Q300,The 30th Avenue School (G&T Citywide),All Grades,2017,All Students,194,351
30Q300,The 30th Avenue School (G&T Citywide),All Grades,2018,All Students,267,631
30Q329,East Elmhurst Community School,All Grades,2017,All Students,63,313
30Q329,East Elmhurst Community School,All Grades,2018,All Students,137,602
30Q580,Baccalaureate School for Global Education,All Grades,2013,All Students,206,345
30Q580,Baccalaureate School for Global Education,All Grades,2014,All Students,192,348
30Q580,Baccalaureate School for Global Education,All Grades,2015,All Students,162,350
30Q580,Baccalaureate School for Global Education,All Grades,2016,All Students,186,352
30Q580,Baccalaureate School for Global Education,All Grades,2017,All Students,216,356
30Q580,Baccalaureate School for Global Education,All Grades,2018,All Students,181,631
